task_id,section,calculated_start,calculated_end,task,owner,evidence,status,date_completed,notes
task_001,18–24 months before retirement,2025-06-01,2025-12-01,"Confirm retirement eligibility, desired retirement date, TAFMS/service dates, ADSCs and likely retired grade.",Personnel,Service data / retirement planning worksheet,not_started,,
task_002,18–24 months before retirement,2025-06-01,2025-12-01,"Start retirement financial model: retired pay estimate, taxes, SBP, VA scenarios, health care, housing and relocation.",Finance,Retirement budget,not_started,,
task_003,18–24 months before retirement,2025-06-01,2025-12-01,Begin TAP Initial Counseling as early as permitted and identify required Career Readiness Standards.,TAP,TAP/eForm records,not_started,,
task_004,18–24 months before retirement,2025-06-01,2025-12-01,"Identify post-retirement location(s), including overseas residency/visa implications if remaining OCONUS.",Relocation,Location decision worksheet,not_started,,
task_005,18–24 months before retirement,2025-06-01,2025-12-01,Create secure retirement document vault and master task tracker.,Admin,Document index,not_started,,
task_006,18–24 months before retirement,2025-06-01,2025-12-01,"Inventory medical conditions, injuries, surgeries, medications, specialty care and missing records.",Medical/VA,Master medical condition list,not_started,,
task_007,18–24 months before retirement,2025-06-01,2025-12-01,"Begin civilian resume, LinkedIn/profile, certifications and transcript collection.",Career,Resume / transcripts / certificates,not_started,,
task_008,12–18 months before retirement,2025-12-01,2026-06-01,Submit retirement application when eligible under current Air Force process.,Personnel,Retirement application confirmation,not_started,,
task_009,12–18 months before retirement,2025-12-01,2026-06-01,Begin/continue TAP requirements and selected career track.,TAP,TAP completion artifacts,not_started,,
task_010,12–18 months before retirement,2025-12-01,2026-06-01,"Develop SkillBridge plan if participating; confirm eligibility, program, dates and command approval path.",SkillBridge,Program acceptance/approval documents,not_started,,
task_011,12–18 months before retirement,2025-12-01,2026-06-01,"Request or begin assembling copies of Service Treatment Records, dental records and relevant civilian records.",Medical,STR/dental/civilian medical records,not_started,,
task_012,12–18 months before retirement,2025-12-01,2026-06-01,"Review life insurance needs and compare SGLI conversion, VGLI and commercial options.",Insurance,Coverage comparison,not_started,,
task_013,12–18 months before retirement,2025-12-01,2026-06-01,Identify expected terminal leave and permissive/administrative absence plan if authorized.,Leave,Draft leave timeline,not_started,,
task_014,12–18 months before retirement,2025-12-01,2026-06-01,Review household goods and final-move entitlement concepts; identify likely destination.,TMO,Move planning notes,not_started,,
task_015,9–12 months before retirement,2026-06-01,2026-09-01,Receive retirement approval/orders when available and review every data element for accuracy.,Personnel,Retirement orders/amendments,not_started,,
task_016,9–12 months before retirement,2026-06-01,2026-09-01,"Use approved retirement date to lock SkillBridge, terminal leave, PTDY/absence and final duty-day sequence.",Leave/SkillBridge,Approved timeline,not_started,,
task_017,9–12 months before retirement,2026-06-01,2026-09-01,Start detailed VA claim preparation with a VSO/VA representative if desired.,VA,Claim evidence index,not_started,,
task_018,9–12 months before retirement,2026-06-01,2026-09-01,"Request missing imaging reports, operative reports, specialty notes and test results.",Medical,Medical evidence,not_started,,
task_019,9–12 months before retirement,2026-06-01,2026-09-01,Schedule unresolved medical/dental issues early enough for treatment or documentation before departure.,Medical/Dental,Appointments/referrals,not_started,,
task_020,9–12 months before retirement,2026-06-01,2026-09-01,Begin retirement ceremony planning and final award/decoration coordination if desired.,Unit,Ceremony checklist / decoration status,not_started,,
task_021,9–12 months before retirement,2026-06-01,2026-09-01,Gather letters of recommendation and non-duty contact information for references.,Career,Reference list,not_started,,
task_022,270–181 days before retirement,2026-09-04,2026-12-02,Confirm BDD eligibility and calculate the exact 180-day and 90-day claim-window dates.,VA,BDD timeline,not_started,,
task_023,270–181 days before retirement,2026-09-04,2026-12-02,"Finalize claimed-condition list with onset, treatment locations, symptoms and supporting evidence.",VA,Condition worksheet,not_started,,
task_024,270–181 days before retirement,2026-09-04,2026-12-02,Verify VA.gov access and personal contact information; never store passwords in the app.,VA,Account verification status,not_started,,
task_025,270–181 days before retirement,2026-09-04,2026-12-02,Confirm Separation Health Assessment process with MTF/VA and required appointments.,Medical/VA,SHA instructions,not_started,,
task_026,270–181 days before retirement,2026-09-04,2026-12-02,Confirm SkillBridge and leave approvals/dependencies that affect availability for VA exams.,SkillBridge/VA,Integrated calendar,not_started,,
task_027,270–181 days before retirement,2026-09-04,2026-12-02,Review current TRICARE retiree plan options and expected costs for intended residence.,TRICARE,Plan comparison,not_started,,
task_028,180–121 days before retirement,2026-12-03,2027-01-31,"File VA Benefits Delivery at Discharge claim as soon as ready within the 180–90 day window, if eligible.",VA,Claim confirmation,not_started,,
task_029,180–121 days before retirement,2026-12-03,2027-01-31,Submit Separation Health Assessment Part A as required for the BDD/separation health process.,Medical/VA,SHA Part A,not_started,,
